순위,도서번호,도서명,링크,저자,출판사,출판일,판매가,정가,할인율,판매지수,내용,이미지
141,127086566,그림으로 이해하는 서버 구조와 기술,https://www.yes24.com/product/goods/127086566,"요코타 카즈키, 엔도 유키 저/김성훈 역",길벗,2024년 06월,"19,800","22,000",10%,"2,484",그림으로 이해하는 서버 구조와 기술. 쉽고 재미있게 시작하는 서버 구조와 기술!우리가 당연하게 하고 있는 모든 온라인 활동 뒤에는 서버나 네트워크 같은 정보 시스템이 있다. 이러한 인프라에 오류가 발생하면 우리가 사용하고 있는 서비스에 바로 지장을 줄 수 있기...,https://image.yes24.com/goods/127086566/xl
142,125606390,Do it! C++ 완전 정복,https://www.yes24.com/product/goods/125606390,"조규남, 문종채",이지스퍼블리싱,2024년 03월,"28,800","32,000",10%,"4,260",Do it! C++ 완전 정복. 실무에서 요구하는 C++ 프로그래밍 방법!이제 C 언어 스타일을 벗어나 C++답게 코딩하자!현업에서 오랫동안 C++를 다뤄 온 전문가가 객체지향 프로그래밍을 배우는 독자에게 그 개념부터 활용법을 친절하게 안내한다. C++ 언어의...,https://image.yes24.com/goods/125606390/xl
143,125293471,오토캐드 40시간 완성,https://www.yes24.com/product/goods/125293471,신동진,피앤피북,2024년 03월,"18,000","20,000",10%,"3,321",오토캐드 40시간 완성. 수년간의 직업능력개발훈련 및 교육 노하우를 바탕으로 오토캐드를 처음 접하는 독자의 입장에서 작성된 교재이다. 불필요한 내용을 버리고 실무에 필요한 기능만 담았다.  효과적인 학습방법으로 높은 학업성취를 달성할 수 있도록 내용을 구성하였...,https://image.yes24.com/goods/125293471/xl
144,124806989,모두의 네트워크 기초,https://www.yes24.com/product/goods/124806989,서지영,길벗,2024년 01월,"21,600","24,000",10%,"2,178","모두의 네트워크 기초. 네트워크를 전혀 몰라도 괜찮다!누구나 쉽게 이해할 수 있는 네트워크 입문서이 책은 이제 막 네트워크를 공부하기 시작했거나 공부해야겠다고 마음먹은 초급자를 대상으로 한 입문서다. 네트워크의 개념, 비트, 랜, 허브 등의 네트워크 기초 지식...",https://image.yes24.com/goods/124806989/xl
145,122338517,핸즈온 머신러닝,https://www.yes24.com/product/goods/122338517,오렐리앙 제롱 저/박해선 역,한빛미디어,2023년 09월,"54,000","60,000",10%,"4,476","핸즈온 머신러닝. 실무 밀착형 예제부터 스테이블 디퓨전 등 최신 머신러닝 트렌드까지주요 인공 지능 콘퍼런스에서 전문가들이 소개한 최고의 실전 지침서 ** 독자의 편의를 고려한 분권(1권, 2권) ** 최신 라이브러리 버전으로 전체 코드 업데이트 ** 〈연습문제...",https://image.yes24.com/goods/122338517/xl
146,102819435,가상 면접 사례로 배우는 대규모 시스템 설계 기초,https://www.yes24.com/product/goods/102819435,알렉스 쉬 저/이병준 역,인사이트(insight),2021년 07월,"21,600","24,000",10%,"6,090","가상 면접 사례로 배우는 대규모 시스템 설계 기초. “페이스북의 뉴스 피드나 메신저, 유튜브, 구글 드라이브 같은 대규모 시스템은 어떻게 설계할까?”IT 경력자라도 느닷없이 대규모 시스템을 설계하려고 하면 막막하다고 느낄 수 있다. 특히나 면접을 보는 상황이라...",https://image.yes24.com/goods/102819435/xl
147,99359735,소프트웨어 테스트 전문가(CSTS) 가이드,https://www.yes24.com/product/goods/99359735,한국정보통신기술협회(TTA),홍릉,2021년 04월,"31,350","33,000",5%,"6,681",소프트웨어 테스트 전문가(CSTS) 가이드.,https://image.yes24.com/goods/99359735/xl
148,59566585,데이터 중심 애플리케이션 설계,https://www.yes24.com/product/goods/59566585,"마틴 클레프만 저/정재부, 김영준, 이도경 역",위키북스,2018년 04월,"32,400","36,000",10%,"3,846","데이터 중심 애플리케이션 설계. 데이터는 오늘날 시스템을 설계할 때 마주치는 많은 도전 과제 중에서도 가장 중심에 있다. 확장성, 일관성, 신뢰성, 효율성, 유지보수성과 같은 해결하기 어려운 문제를 파악해야 할 뿐 아니라 관계형 데이터베이스, NoSQL 데이터...",https://image.yes24.com/goods/59566585/xl
149,8921236,미래를 바꾼 아홉 가지 알고리즘,https://www.yes24.com/product/goods/8921236,존 맥코믹 저 / 민병교 역,에이콘출판사,2013년 05월,"16,920","18,800",10%,"3,558","미래를 바꾼 아홉 가지 알고리즘. 오늘날 우리는 궁금한 것이 있으면 인터넷 검색엔진에 검색어를 입력하고, 필요한 물건이 있으면 인터넷 쇼핑몰에서 구입한다. 일상생활의 모든 활동을 컴퓨터로 하고 있다고 해도 과언이 아니다. 그렇다면 우리가 컴퓨터를 사용할 때, ...",https://image.yes24.com/goods/8921236/xl
150,192277220,바이브 엔지니어링,https://www.yes24.com/product/goods/192277220,제이 킴,길벗,2026년 06월,"21,600","24,000",10%,906,"바이브 엔지니어링. AI 코딩 시대, 개발자는 어떻게 살아남을 수 있을까?바이브 코딩을 넘어 AI와 함께 설계·테스트·검증까지, 일 잘하는 개발자의 실전 전략 가이드바이브 코딩이 단순히 AI에게 코드를 생성해달라고 요청하는 수준에 머문다면, 바이브 엔지니어링은...",https://image.yes24.com/goods/192277220/xl
151,191506324,AI 에이전트 실행 세계 1 : 원리편,https://www.yes24.com/product/goods/191506324,조쉬,로드북,2026년 06월,"27,000","30,000",10%,"2,184","AI 에이전트 실행 세계 1 : 원리편. PoC는 성공하는데 운영은 왜 계속 실패할까?AI의 능력이 부족해서가 아니다. 에이전트가 발 딛고 움직일 `실행 세계` — 누가, 어디서, 어떤 상태에서, 무엇을 할 수 있는지를 정의하는 구조 — 가 없기 때문이다. 확...",https://image.yes24.com/goods/191506324/xl
152,190419762,생존을 위한 최소한의 AI 교양,https://www.yes24.com/product/goods/190419762,조남호,골든래빗,2026년 06월,"22,500","25,000",10%,"3,990","생존을 위한 최소한의 AI 교양. ★ [생존] AI 시대, 남들 따라 챗GPT만 써본 당신이 가장 먼저 마주해야 할 현실★ [최소한] 꼭 필요한 뼈대만 남겼다. 이 책 한 권이 당신의 출발점이자 도착점이다★ [교양] 사용법이 아니다, 원리다. 한 번 이해하면 ...",https://image.yes24.com/goods/190419762/xl
153,193391571,코딩 몰라도 시작하는 바이브 코딩,https://www.yes24.com/product/goods/193391571,박인찬,혜지원,2026년 07월,"18,000","20,000",10%,300,"코딩 몰라도 시작하는 바이브 코딩. “회사에서 가장 먼저 바꾼 것은 업무가 아니라, 일하는 방식이었습니다.”“한 사람의 혁신으로 시작한 자동화가 회사의 업무를 바꿨습니다.”반복되는 엑셀 작업, 자료 정리, 문서 작성, 파일 관리…. 매일 반복되는 업무를 불편해...",https://image.yes24.com/goods/193391571/xl
154,193184112,교사의 시간 AI로 다시 쓰다,https://www.yes24.com/product/goods/193184112,"황영준, 박성완, 양기송",에듀윌,2026년 07월,"12,600","14,000",10%,570,"교사의 시간 AI로 다시 쓰다. 1시간짜리 일을 1분 만에 끝낼 수 있다면, 남은 59분으로 무엇을 할 수 있을까요?교사의 하루, 수업보다 수업 밖 일이 더 많습니다. 세특, 행특, 가정통신문, 첨삭, 행정 문서… 이 책과 함께라면 그 산더미 같은 업무시간을 ...",https://image.yes24.com/goods/193184112/xl
155,192666096,브랜드가 된 디자이너,https://www.yes24.com/product/goods/192666096,노선선,시프트,2026년 07월,"18,900","21,000",10%,657,"브랜드가 된 디자이너. AI가 발전할수록 디자인 실력만으로는 오래 살아남기 어렵다.포트폴리오, 커뮤니케이션, 태도, AI 활용, 리더십까지디자이너의 이름을 하나의 브랜드로 만드는 현실적인 커리어 전략이 책은 예비 디자이너는 물론이고, 디자인 현업에 종사하면서 ...",https://image.yes24.com/goods/192666096/xl
156,191855007,스토리 창작자를 위한 AI 활용 가이드,https://www.yes24.com/product/goods/191855007,"야마카와 겐이치, 이마이 아키히코, 아시자와 가모메 저/송경원 역",요다,2026년 06월,"16,200","18,000",10%,972,스토리 창작자를 위한 AI 활용 가이드. 어떤 이야기를 써야 할지 모르겠다거나 첫 문장이 도저히 떠오르지 않는다면?AI라는 보조 작가와 함께라면 스토리 창작이 더 이상 두렵지 않다!프로 작가가 알려주는 이야기를 효율적으로 확장하고 발전시키는 AI 활용법스토리 ...,https://image.yes24.com/goods/191855007/xl
157,191321747,혼자 해도 프로 선생님처럼 잘 만드는 학교 수업 자료 with 제미나이,https://www.yes24.com/product/goods/191321747,"김태훈, 손민지, 김한나",한빛미디어,2026년 06월,"19,800","22,000",10%,"1,782","혼자 해도 프로 선생님처럼 잘 만드는 학교 수업 자료 with 제미나이. 누구나 프로처럼 학교 수업 자료 만들기! 제미나이가 교사의 시간을 되찾아준다.제미나이, 나노바나나, Omni(구 Veo), 노트북LM, 구글 젬스, AI 스튜디오로 끝내는 교사 AI 워크...",https://image.yes24.com/goods/191321747/xl
158,189445450,AI 대세전환 안티그래비티 × 바이브 코딩 압도적 업무 역량,https://www.yes24.com/product/goods/189445450,"정용범, 손상우, 박성환",프리렉,2026년 05월,"27,000","30,000",10%,"1,146","AI 대세전환 안티그래비티 × 바이브 코딩 압도적 업무 역량. 파이썬 책 샀다가 환경 설정만 하다 덮은 적 있다면,`이거 자동화 안 되나?` 혼자 삭히다 포기한 적 있다면매일 3시간씩 걸리는 엑셀 데이터 취합, 끝없이 쏟아지는 이메일 대응, 매주 반복되는 PP...",https://image.yes24.com/goods/189445450/xl
159,187954810,"누구나 코딩하는 시대, 1일 10분 바이브 코딩",https://www.yes24.com/product/goods/187954810,김영욱,한빛미디어,2026년 04월,"19,800","22,000",10%,"2,004","누구나 코딩하는 시대, 1일 10분 바이브 코딩. 유료 구독 없이 시작하는 바이브 코딩나만의 아이디어를 현실로 만드는 입문서이 책은 코드 한 줄 몰라도, 유료 구독 없이도 바이브 코딩을 경험할 수 있도록 안내하는 입문서다. 기획부터 배포까지 전 과정을 하루 1...",https://image.yes24.com/goods/187954810/xl
160,185166276,이게 되네? 오픈클로 미친 활용법 50제,https://www.yes24.com/product/goods/185166276,한준구,골든래빗,2026년 05월,"21,600","24,000",10%,"7,608","이게 되네? 오픈클로 미친 활용법 50제. * 전 세계가 열광한 최강의 AI 비서 오픈클로를 즉시 마스터하라!* 노코딩으로 누구나 쉽게, 철저한 보안 준수로 안전하게!* 코난쌤이 선사하는 24시간, 365일 일하는 50가지 AI 비서를 지금 만나세요!오픈클로(...",https://image.yes24.com/goods/185166276/xl
161,184570770,인스타그램 릴스 & 알고리즘 공략법 : 100만 조회수 만들기,https://www.yes24.com/product/goods/184570770,서진원,이은북,2026년 04월,"16,020","17,800",10%,"2,094","인스타그램 릴스 & 알고리즘 공략법 : 100만 조회수 만들기. 조회수는 우연이 아니다, 알고리즘을 읽으면 길이 보인다!노출부터 확산, 팔로워 증가까지 인스타그램 운영의 핵심이 궁금하다면?짧은 영상 하나가 수십만, 수백만 조회수로 이어지는 시대다. 이제 인스타...",https://image.yes24.com/goods/184570770/xl
162,184269953,수업과 업무에 바로 적용하는 생성형 AI 활용 58제,https://www.yes24.com/product/goods/184269953,임세범,앤써북,2026년 04월,"16,920","18,800",10%,"3,357","수업과 업무에 바로 적용하는 생성형 AI 활용 58제. 58가지 실전 예제로 수업과 업무 효율성을 높여 교사의 시간을 되찾아주는 생성형 AI 실전 지침서!『생성형 AI 활용 58제』는 2022 개정 교육과정을 반영하여, 교사가 교실 현장에서 겪는 수업 준비와 ...",https://image.yes24.com/goods/184269953/xl
163,183530330,바로바로 바이브 코딩 with 커서 AI,https://www.yes24.com/product/goods/183530330,박현규,골든래빗,2026년 04월,"27,000","30,000",10%,"3,414","바로바로 바이브 코딩 with 커서 AI. ★ 커서 공식 앰배서더가 작정하고 쓴 진짜 AI 코딩 노하우★ 왕초보부터 실력자까지, 누구나 쉽게 `바로 배워 바로 쓰는` 바이브 코딩★ 50가지 풀스택 실전 프로젝트, 당신의 모든 아이디어를 `바로` 구현하세요AI가...",https://image.yes24.com/goods/183530330/xl
164,182134623,옵시디언 프로페셔널 노트,https://www.yes24.com/product/goods/182134623,구요한,리코멘드,2026년 03월,"22,500","25,000",10%,"5,766","옵시디언 프로페셔널 노트. 국내 최고 옵시디언 전문가 구요한의 지식 관리 노하우를 한 권에 담았습니다!옵시디언은 단순한 메모 앱이 아닙니다. 노트와 노트를 연결하고, 흩어진 정보를 유기적인 지식 네트워크로 확장하는 개인 지식 관리(PKM) 플랫폼입니다. 이 책...",https://image.yes24.com/goods/182134623/xl
165,179694520,맛있는 디자인 피그마 with AI,https://www.yes24.com/product/goods/179694520,이영주,한빛미디어,2026년 02월,"25,200","28,000",10%,"2,412","맛있는 디자인 피그마 with AI. 피그마와 AI 기능을 활용해 디자인 시스템을 완성해보세요!한 권으로, 한번에! 쉽고 빠르게 익혀 바로 써먹는 UI/UX 디자인 입문서!UI/UX 디자인의 핵심 도구인 피그마를 이 책 한 권으로 제대로 배울 수 있습니다. 단...",https://image.yes24.com/goods/179694520/xl
166,176919464,된다! 피그마 디자인 10분 레시피,https://www.yes24.com/product/goods/176919464,"하이서, 김대일, 김시원, 최유빈",이지스퍼블리싱,2026년 02월,"25,200","28,000",10%,"3,378","된다! 피그마 디자인 10분 레시피. 누적 조회수 500만 뷰!업계 1티어 ‘피그마 피디아’ 팀의 10분 해결 실무 레시피SNS 콘텐츠는 물론 UX/UI, 웹 디자인, AI 활용까지 한 번에 해결하세요! “피그마가 좋다고 듣긴 했는데, 시작하려 하니 막막해요....",https://image.yes24.com/goods/176919464/xl
